sibou,jusyou,fusyou
8760,64115,534604
8719,65595,541751
9073,69002,557190
9520,71117,583705
9262,68388,575933
9261,71851,609495
9317,73266,639064
9347,72867,649312
10344,76692,676153
11086,80948,733884
11227,79126,711169
11109,77977,732268
11452,79535,764468
10945,80109,798524
10653,77674,804049
10684,78952,843725
9943,77053,865151
9642,76281,882644
9214,74247,916429
9012,75894,974505
9073,80104,1075603
8757,79677,1101362
8396,78297,1089732
7768,75112,1106569
7436,72817,1110800
6937,68975,1088138
6415,64145,1034419
5796,61034,973618
5209,56818,888885
4979,53708,857507
4948,51536,844761
4691,48663,805950
4438,46663,778729
4388,44546,736946
4113,41658,669716
4117,38959,627064
