sibou,jusyou,fusyou,jinkou
8760,64115,534604,116155000
8719,65595,541751,117060000
9073,69002,557190,117902000
9520,71117,583705,118728000
9262,68388,575933,119536000
9261,71851,609495,120305000
9317,73266,639064,121049000
9347,72867,649312,121660000
10344,76692,676153,122239000
11086,80948,733884,122745000
11227,79126,711169,123205000
11109,77977,732268,123611000
11452,79535,764468,124043000
10945,80109,798524,124452000
10653,77674,804049,124764000
10684,78952,843725,125265000
9943,77053,865151,125570000
9642,76281,882644,125864000
9214,74247,916429,126166000
9012,75894,974505,126486000
9073,80104,1075603,126686000
8757,79677,1101362,126925843
8396,78297,1089732,127291000
7768,75112,1106569,127435000
7436,72817,1110800,127619000
6937,68975,1088138,127687000
6415,64145,1034419,127767944
5796,61034,973618,127770000
5209,56818,888885,127771000
4979,53708,857507,127692000
4948,51536,844761,127510000
4691,48663,805950,128057000
4438,46663,778729,127799000
4388,44546,736946,127515000
4113,41658,669716,127298000
4117,38959,627064,127083000
